id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
11,448970.423047,0.10489899996900931,448970.527946,382,383,385,0.47064193859057013,0.4285522861927583 0.5217198207736954 0.5675801118529342 0.6601727044455268 0.7079436030967203 0.7275757946664372 0.6868553859530613 0.5962646532627329 0.5110239183146807 0.32583873312949563 0.26995797683962497 0.08851773492883173 0.0076145845116452485 -0.17757060067353989 -0.27095036090356894 -0.4561355460887541 -0.5372720707660306 -0.6812170505838097 -0.6822651927432363 -0.6347928674132733 -0.6065427907087183 -0.5077078202256449 -0.49735197126865355 -0.410855349898338 -0.3835020333528518 -0.2909094407602591,448970.423047 448970.428258 448970.431116 448970.436327 448970.439185 448970.444397 448970.447254 448970.452466 448970.455323 448970.460535 448970.463392 448970.468604 448970.471462 448970.476673 448970.479531 448970.484742 448970.4876 448970.492812 448970.495669 448970.500881 448970.503738 448970.50895 448970.511807 448970.517019 448970.519876 448970.525088
12,448970.568291,0.15852600004291162,448970.726817,386,388,391,0.34254560351482016,0.4757159948348997 0.5683085874274922 0.5427220969288435 0.5579944923528387 0.6372436525101483 0.7220159501397517 0.7986961169935507 0.7530196135531391 0.6716156627029702 0.5852654480008587 0.49644187233640896 0.4052431950703233 0.3232468733921618 0.23065428079956923 0.3380495361444548 0.40009733788905705 0.22713282968459372 0.14083038700147973 0.06315903905665513 0.15335850289787356 0.07379140637730931 0.07379140637730928 0.03058990637340187 0.03058990637340189 -0.023514834015180775 -0.023514834015180765 -0.18352471244336835 -0.3276996681525498 -0.23632252480055677 -0.23632252480055665 -0.28288911160406355 -0.42813290157827705 -0.3553220612910016 -0.3999398052467197 -0.3135368052389048 -0.37412781858215066 -0.2659183378049855 -0.3269791295711875 -0.2819593727148122,448970.568291 448970.573503 448970.576361 448970.581572 448970.58443 448970.589641 448970.592499 448970.597711 448970.600568 448970.60578 448970.608637 448970.613849 448970.616706 448970.621918 448970.624775 448970.629987 448970.632845 448970.638056 448970.640914 448970.646126 448970.648983 448970.654195 448970.657052 448970.662264 448970.665121 448970.670333 448970.67319 448970.678402 448970.681259 448970.686471 448970.689329 448970.694541 448970.697398 448970.70261 448970.705467 448970.710679 448970.713536 448970.718748 448970.721605
13,448971.044371,0.20172899996396154,448971.2461,400,403,406,0.3660870894671059,0.4477522382297732 0.4321861570401725 0.49341590589851825 0.5343077607498523 0.49740175812241244 0.522744974250232 0.45081219041697546 0.47605875319813273 0.41050084617311344 0.33668696182653995 0.31115319181740436 0.24224667377310932 0.17436932926193588 0.25349765721694184 0.18937783366399769 0.1337932517502264 0.21102645323624164 0.16068933179372952 0.1606893317937295 0.04913257316210929 0.04913257316210925 -0.021861122080888345 0.08014218583432363 0.000962968995491533 0.0009629689954915526 -0.13439682528691302 -0.19391476580853081 -0.2855814324751975 -0.43125345555075684 -0.5027608774593121 -0.5767817775675083 -0.5368976349690687 -0.6189819286877598 -0.5583060080304058 -0.7240839168890392 -0.6569071897105454 -0.7481706152814925 -0.707403830843112 -0.6774278137292716 -0.586687072988531 -0.5135487189873091 -0.4575744054809354 -0.4021251978571358 -0.3862088306336282 -0.3146328357888383 -0.31559618396714656 -0.2359468945180906,448971.044371 448971.049584 448971.05244 448971.057653 448971.060509 448971.065722 448971.068579 448971.073791 448971.076648 448971.08186 448971.084717 448971.08993 448971.092786 448971.097999 448971.106068 448971.108924 448971.114137 448971.116993 448971.125063 448971.130275 448971.133132 448971.138345 448971.141201 448971.146414 448971.14927 448971.154483 448971.157339 448971.162552 448971.165408 448971.170621 448971.173477 448971.17869 448971.181547 448971.18676 448971.189616 448971.194829 448971.197685 448971.202898 448971.205754 448971.213823 448971.219036 448971.221892 448971.227105 448971.229962 448971.235175 448971.238031 448971.243244
14,448971.689903,0.11818200000561774,448971.808085,420,421,423,0.5390509805657462,0.4683097647832119 0.5609023573758045 0.5573554707647854 0.6499480633573779 0.736188026023501 0.8287806186160934 0.9104390923373505 0.843780183546338 0.8365331964141827 0.6513480112289973 0.4670887519697384 0.31731370387276375 0.14551216770123912 -0.0009626153661108515 -0.007616377514086876 -0.191875636773346 -0.35979003396004916 -0.5449752191452343 -0.7174043039230663 -0.6854637384164491 -0.8196193173293368 -0.7270267247367443 -0.6261167251719025 -0.604344406755731 -0.5345852553058208 -0.5194134669488987 -0.5230583038594986 -0.432317563118758 -0.3644093400902218,448971.689903 448971.695117 448971.697972 448971.703186 448971.706041 448971.711255 448971.71411 448971.719324 448971.72218 448971.727394 448971.730249 448971.735463 448971.738318 448971.743532 448971.746387 448971.751601 448971.754456 448971.75967 448971.762525 448971.767739 448971.770594 448971.775808 448971.778664 448971.783878 448971.786733 448971.791947 448971.794802 448971.800016 448971.802871
15,448972.561371,0.2904889999772422,448972.85186,446,450,454,0.21706826575328242,0.40541238441153177 0.40808576297077825 0.44977456503645097 0.47431654572687715 0.49972977523651346 0.41848225341212925 0.34362033176615236 0.3526942669393283 0.3934004139034143 0.225155084761065 0.3297958446870549 0.32225516832917417 0.15947330591131736 0.1499728611479365 0.05569330809658836 -0.0695334173186475 -0.15772217592149623 -0.10774447589980964 -0.10774447589980964 -0.17679025633335854 -0.1656950711006397 -0.021695681486058563 -0.10593686536683235 -0.10966662103209379 -0.014148474833274624 -0.02941193306418348 0.037019342056304354 0.11178753957446709 0.0978912522771613 0.08214939511044042 0.04743659373346187 0.024380561575331604 -0.01995559431402486 -0.08404980366788635 -0.08404980366788649 -0.054191612963611295 -0.05354126475965173 -0.028120176267222928 -0.14591732197958016 -0.08602279942087147 0.03216195882416304 0.07362360648480708 0.06110651923302112 0.18205399492570495 0.182053994925705 0.22665566494365388 0.1539236123537228 0.11418586071527506 0.1463347979443805 0.11990298576396735 0.21653823694426141 0.1516858227324015 0.05137658960383217 -0.08576898947816228 -0.02092844348884519 -0.16554978227516723 -0.23547125152206688 -0.3561013391979385 -0.2788563063070134 -0.3533106922322358 -0.41443496429271975 -0.4885023780996349 -0.5086985295252783 -0.5920881760024479 -0.5843716690069112 -0.48704330702767396 -0.5251021876965073 -0.462233962342772 -0.410451853223498 -0.3274046023168716 -0.3375130348735384 -0.27301563797173667,448972.561371 448972.566586 448972.56944 448972.574656 448972.577509 448972.582725 448972.585578 448972.590794 448972.593648 448972.598863 448972.601717 448972.606932 448972.609786 448972.615001 448972.617855 448972.623071 448972.625924 448972.63114 448972.633993 448972.639209 448972.642062 448972.647278 448972.650132 448972.655347 448972.658201 448972.663416 448972.66627 448972.671486 448972.674339 448972.679555 448972.682408 448972.687624 448972.690477 448972.695693 448972.698546 448972.703762 448972.706616 448972.711831 448972.714685 448972.719901 448972.722754 448972.72797 448972.730823 448972.736039 448972.738892 448972.744108 448972.746961 448972.752177 448972.755031 448972.760246 448972.7631 448972.768316 448972.771169 448972.776385 448972.779238 448972.784454 448972.787307 448972.792523 448972.795376 448972.800592 448972.803445 448972.808661 448972.811515 448972.816731 448972.819584 448972.8248 448972.827653 448972.832869 448972.835722 448972.840938 448972.843791 448972.849007
16,448974.083589,0.2207180000259541,448974.304307,491,494,498,0.12088529872926969,0.42026075400775664 0.470567267361387 0.42498566320879216 0.37804492156091857 0.29643377498192075 0.2246574257464568 0.1817468511909226 0.10969587907360476 0.15412830102508787 0.11241281879049028 0.20237610286211524 0.08215660155574703 0.012673380978507143 -0.08696518705195626 -0.07872121599515501 -0.029064290200706305 0.09486180031975827 0.09486180031975834 0.21721865189096282 0.16081513503463415 0.10480102362499903 0.15355968826386227 0.07437056806242325 0.12024070323576329 0.1202407032357633 0.1779201717946576 0.1654245075020949 0.173918155101056 0.04692255291185352 0.04692255291185353 -0.12184515074636255 -0.009038117033705238 -0.009038117033705191 -0.04903307121951577 -0.04903307121951586 0.04528636916417791 -0.030428092033068697 -0.026358775314755313 0.08559256690032037 0.050220198736787784 0.09401456471953186 0.026665563515743968 0.1808676374988428 0.05252617255121073 0.005864840507933507 0.00586484050793354 0.005864840507933513 -0.07230483147230901 0.07912409092218425 0.057184723590343954 -0.12007141483984397 -0.12007141483984397 -0.12878527622246905 -0.08575394048156007,448974.083589 448974.08644 448974.091658 448974.094509 448974.099728 448974.102578 448974.107797 448974.110647 448974.115866 448974.118717 448974.123935 448974.126786 448974.132004 448974.140073 448974.142924 448974.148142 448974.150993 448974.156212 448974.159062 448974.164281 448974.167131 448974.17235 448974.175201 448974.180419 448974.18327 448974.188488 448974.191339 448974.196557 448974.199408 448974.204627 448974.207477 448974.212696 448974.215546 448974.220765 448974.223616 448974.228834 448974.231685 448974.236903 448974.239754 448974.244972 448974.247823 448974.253042 448974.255892 448974.261111 448974.263961 448974.26918 448974.27203 448974.277249 448974.2801 448974.285318 448974.288169 448974.293387 448974.296238 448974.301457
17,448975.600592,0.09160799998790026,448975.6922,536,537,539,0.3849236462250811,0.4668274521008431 0.5505082507108946 0.550151500665277 0.6236025086230889 0.7145272749516884 0.7497806286653738 0.5784881285956239 0.5764850178699888 0.6126701841325871 0.4638251988498493 0.33883282934817033 0.25524910352487373 0.1217473983287052 -0.054046729744915555 -0.02985182618632402 -0.2010486061261875 -0.33669458565867655 -0.39415413049091236 -0.2367543155365977 -0.23965963364308507 -0.3224256424014442 -0.233146270449566 -0.20276664657218996,448975.600592 448975.60344 448975.608661 448975.611509 448975.61673 448975.619578 448975.624799 448975.627647 448975.632869 448975.635716 448975.640938 448975.643786 448975.649007 448975.651855 448975.657076 448975.659924 448975.665145 448975.667993 448975.673214 448975.676062 448975.681284 448975.684131 448975.689353
18,448975.737768,0.05126199999358505,448975.78903,540,541,542,0.17959807764705868,0.40648992642237336 0.40648992642237336 0.311663798151062 0.22016584801215866 0.12291725427731275 0.2122259779384881 0.09841719947759806 0.010673378510100506 0.0960203389850478 -0.03649350615555921 -0.07579345723135253 -0.15150223394377013 -0.18592216388456714,448975.737768 448975.740615 448975.745837 448975.748685 448975.753906 448975.756754 448975.761975 448975.764823 448975.770044 448975.772892 448975.778113 448975.780961 448975.786183
19,448977.036903,0.056484000000637025,448977.093387,579,580,581,0.30951074669455336,0.408467262795057 0.42436498053585753 0.4908333319529752 0.4263615623119426 0.48967774968485667 0.4789813926377403 0.44590707461075535 0.3549670263135091 0.24354589212860128 0.2671587548890091 0.1553633587243977 0.030919109120914348 -0.0246020048840686 -0.09200095313406212,448977.036903 448977.039748 448977.044972 448977.047817 448977.053041 448977.055887 448977.06111 448977.063956 448977.06918 448977.072025 448977.077249 448977.080094 448977.085318 448977.088163
20,448978.360246,0.08069099998101592,448978.440937,619,620,621,0.1936279320514875,0.4138642524466031 0.45444194666838206 0.40286428699963633 0.4467280754044364 0.32353527292612044 0.26951589242730495 0.20869261413263573 0.15770886507853943 0.27297508429690825 0.1572745038420648 0.1980787564224248 0.1420654515442607 0.097134636951334 -0.04284725122809172 -0.042847251228091764 -0.12096333903280652 0.02080513163532013 0.02080513163532014 -0.03970544856473475 -0.039705448564734694,448978.360246 448978.363089 448978.368315 448978.371158 448978.376384 448978.379227 448978.384453 448978.387296 448978.392522 448978.395365 448978.400592 448978.403434 448978.408661 448978.411503 448978.41673 448978.419573 448978.424799 448978.427642 448978.432868 448978.435711
21,448979.917594,0.12910700001521036,448980.046701,665,667,669,0.5391632303147162,0.48522974605913494 0.5759802791807386 0.668572871773331 0.7391258191179345 0.7552013671329761 0.8177485552472131 0.8149890754331078 0.750877127453234 0.761537385057621 0.6763664372144932 0.49210717795523395 0.40326962279400524 0.23185481038810105 0.04851658086433633 -0.12444368063951904 -0.28630343249098933 -0.318454528521073 -0.480543482307499 -0.5298296855594437 -0.5351040675287903 -0.6793230852198728 -0.7719156778124653 -0.6811749370717245 -0.7737675296643172 -0.7087156826302867 -0.617974941889546 -0.5498321966596128 -0.4776711380747639 -0.46159559005972206 -0.3773949616819491 -0.34361766624261736 -0.31418423034526677,448979.917594 448979.920434 448979.925663 448979.928503 448979.933733 448979.936572 448979.941802 448979.944642 448979.949871 448979.952711 448979.95794 448979.96078 448979.966009 448979.968849 448979.974078 448979.976918 448979.982148 448979.984987 448979.990217 448979.993057 448979.998286 448980.001126 448980.006355 448980.009195 448980.014424 448980.017264 448980.022493 448980.025333 448980.030563 448980.033402 448980.038632 448980.041471
22,448981.240937,0.1480819999706,448981.389019,704,706,709,0.29597732436882945,0.4523488757820391 0.5514007188689175 0.6439933114615102 0.7306976770946622 0.817359762062664 0.8905490669972715 0.7207568916664628 0.7255763024850572 0.7320315522951907 0.584871251079118 0.44922778542771175 0.47533606201501133 0.35967585653157497 0.2670832639389824 0.15331434142901196 0.06503918920493039 -0.024588149575366765 -0.19534810607782752 -0.09019460876050832 -0.18124297746173665 -0.16821076847240937 -0.05907535122544928 0.027026394892177973 0.03799374650296112 0.08660657179950439 0.02777924710957025 -0.0019376093710116692 -0.0703217889073613 -0.1383744578605924 0.03736355761712887 -0.01676738873614285 -0.011107095109682332 -0.10808425742172263 -0.16265196604520274 -0.20570283910401638 -0.30062470717862566 -0.38089750407757156,448981.240937 448981.243774 448981.249006 448981.251844 448981.257075 448981.259913 448981.265144 448981.267982 448981.273214 448981.276051 448981.281283 448981.28412 448981.289352 448981.292189 448981.297421 448981.300258 448981.30549 448981.308328 448981.313559 448981.316397 448981.321629 448981.324466 448981.329698 448981.332535 448981.337767 448981.340604 448981.345836 448981.348673 448981.353905 448981.356743 448981.361974 448981.364812 448981.370044 448981.372881 448981.378113 448981.38095 448981.386182
