# timestamps [seconds],pts
448974.605016,1111460
448974.638533,1113656
448974.672051,1115853
448974.705568,1118050
448974.739085,1120246
448974.772603,1122443
448974.806120,1124639
448974.839638,1126836
448974.873155,1129032
448974.906672,1131229
448974.940190,1133425
448974.973707,1135622
448975.007225,1137819
448975.040742,1140015
448975.074259,1142212
448975.107777,1144408
448975.141294,1146605
448975.174812,1148801
448975.208329,1150998
448975.241846,1153195
448975.275364,1155391
448975.308881,1157588
448975.342398,1159784
448975.375916,1161981
448975.409433,1164177
448975.442951,1166374
448975.476468,1168570
448975.509985,1170767
448975.543503,1172964
448975.577020,1175160
448975.610538,1177357
448975.644055,1179553
448975.677572,1181750
448975.711090,1183946
448975.744607,1186143
448975.778124,1188339
448975.811642,1190536
448975.845159,1192733
448975.878677,1194929
448975.912194,1197126
448975.945711,1199322
448975.979229,1201519
448976.012746,1203715
448976.046264,1205912
448976.079781,1208109
448976.113298,1210305
448976.146816,1212502
448976.180333,1214698
448976.213851,1216895
448976.247368,1219091
448976.280885,1221288
448976.314403,1223485
448976.347920,1225681
448976.381437,1227878
448976.414955,1230074
448976.448472,1232271
448976.481990,1234467
448976.515507,1236664
448976.549024,1238860
448976.582542,1241057
448976.616059,1243254
448976.649577,1245450
448976.683094,1247647
448976.716611,1249843
448976.750129,1252040
448976.783646,1254236
448976.817163,1256433
448976.850681,1258630
448976.884198,1260826
448976.917716,1263023
448976.951233,1265219
448976.984750,1267416
448977.018268,1269612
448977.051785,1271809
448977.085303,1274005
448977.118820,1276202
448977.152337,1278399
448977.185855,1280595
448977.219372,1282792
448977.252890,1284988
448977.286407,1287185
448977.319924,1289381
448977.353442,1291578
448977.386959,1293774
448977.420476,1295971
448977.453994,1298168
448977.487511,1300364
448977.521029,1302561
448977.554546,1304757
448977.588063,1306954
448977.621581,1309150
448977.655098,1311347
448977.688616,1313544
448977.722133,1315740
448977.755650,1317937
448977.789168,1320133
448977.822685,1322330
448977.856202,1324526
448977.889720,1326723
448977.923237,1328919
448977.956755,1331116
448977.990272,1333313
448978.023789,1335509
448978.057307,1337706
448978.090824,1339902
448978.124342,1342099
448978.157859,1344295
448978.191376,1346492
448978.224894,1348689
448978.258411,1350885
448978.291929,1353082
448978.325446,1355278
448978.358963,1357475
448978.392481,1359671
448978.425998,1361868
448978.459515,1364064
448978.493033,1366261
448978.526550,1368458
448978.560068,1370654
448978.593585,1372851
448978.627102,1375047
448978.660620,1377244
448978.694137,1379440
448978.727655,1381637
448978.761172,1383834
448978.794689,1386030
448978.828207,1388227
448978.861724,1390423
448978.895242,1392620
448978.928759,1394816
448978.962276,1397013
448978.995794,1399209
448979.029311,1401406
448979.062828,1403603
448979.096346,1405799
448979.129863,1407996
448979.163381,1410192
448979.196898,1412389
448979.230415,1414585
448979.263933,1416782
448979.297450,1418979
448979.330968,1421175
448979.364485,1423372
448979.398002,1425568
448979.431520,1427765
448979.465037,1429961
