# timestamps [seconds],pts
448961.143526,229237
448961.151595,229766
448961.159665,230295
448961.167734,230824
448961.175803,231352
448961.183872,231881
448961.191941,232410
448961.200010,232939
448961.208079,233468
448961.216149,233996
448961.224218,234525
448961.232287,235054
448961.240356,235583
448961.248425,236112
448961.256494,236640
448961.264564,237169
448961.272633,237698
448961.280702,238227
448961.288771,238756
448961.296840,239285
448961.304909,239813
448961.312978,240342
448961.321048,240871
448961.329117,241400
448961.337186,241929
448961.345255,242457
448961.353324,242986
448961.361393,243515
448961.369462,244044
448961.377532,244573
448961.385601,245101
448961.393670,245630
448961.401739,246159
448961.409808,246688
448961.417877,247217
448961.425947,247746
448961.434016,248274
448961.442085,248803
448961.450154,249332
448961.458223,249861
448961.466292,250390
448961.474361,250918
448961.482431,251447
448961.490500,251976
448961.498569,252505
448961.506638,253034
448961.514707,253562
448961.522776,254091
448961.530845,254620
448961.538915,255149
448961.546984,255678
448961.555053,256207
448961.563122,256735
448961.571191,257264
448961.579260,257793
448961.587329,258322
448961.595399,258851
448961.611537,259908
448961.619606,260437
448961.627675,260966
448961.635744,261495
448961.651883,262552
448961.659952,263081
448961.668021,263610
448961.676090,264139
448961.684159,264667
448961.692228,265196
448961.708367,266254
448961.716436,266783
448961.724505,267312
448961.732574,267840
448961.748712,268898
448961.756782,269427
448961.764851,269956
448961.772920,270484
448961.780989,271013
448961.789058,271542
448961.805196,272600
448961.813266,273129
448961.821335,273657
448961.829404,274186
448961.837473,274715
448961.845542,275244
448961.853611,275773
448961.861681,276301
448961.869750,276830
448961.877819,277359
448961.885888,277888
448961.893957,278417
448961.902026,278945
448961.910095,279474
448961.918165,280003
448961.926234,280532
448961.934303,281061
448961.942372,281589
448961.950441,282118
448961.958510,282647
448961.966579,283176
448961.974649,283705
448961.982718,284234
448961.990787,284762
448961.998856,285291
448962.006925,285820
448962.014994,286349
448962.023063,286878
448962.031133,287406
448962.039202,287935
448962.047271,288464
448962.055340,288993
448962.063409,289522
448962.071478,290050
448962.079548,290579
448962.087617,291108
448962.095686,291637
448962.103755,292166
448962.111824,292695
448962.119893,293223
448962.127962,293752
448962.136032,294281
448962.144101,294810
448962.152170,295339
448962.160239,295867
448962.168308,296396
448962.176377,296925
448962.184446,297454
448962.192516,297983
448962.200585,298511
448962.208654,299040
448962.216723,299569
448962.224792,300098
448962.232861,300627
448962.240931,301156
448962.249000,301684
448962.257069,302213
448962.265138,302742
448962.273207,303271
448962.281276,303800
448962.289345,304328
448962.297415,304857
448962.305484,305386
448962.313553,305915
448962.321622,306444
448962.329691,306972
448962.337760,307501
448962.345829,308030
448962.353899,308559
448962.361968,309088
448962.370037,309617
448962.378106,310145
448962.386175,310674
448962.394244,311203
448962.402313,311732
448962.410383,312261
448962.418452,312789
448962.426521,313318
448962.434590,313847
448962.442659,314376
448962.450728,314905
448962.458797,315433
448962.466867,315962
448962.474936,316491
448962.483005,317020
448962.491074,317549
448962.499143,318077
448962.507212,318606
448962.515281,319135
448962.523351,319664
448962.531420,320193
448962.539489,320722
448962.547558,321250
448962.555627,321779
448962.563696,322308
448962.571766,322837
448962.579835,323366
448962.587904,323894
448962.595973,324423
448962.604042,324952
448962.612111,325481
448962.620180,326010
448962.628250,326539
448962.636319,327067
448962.644388,327596
448962.652457,328125
448962.660526,328654
448962.668595,329183
448962.676664,329711
448962.684734,330240
448962.692803,330769
448962.700872,331298
448962.708941,331827
448962.717010,332355
448962.725079,332884
