# timestamps [seconds],pts
0.072525,1966
0.083332,2674
0.088650,3023
0.097733,3618
0.105601,4134
0.112570,4590
0.120561,5114
0.129141,5676
0.136339,6148
0.144324,6671
0.152631,7216
0.160395,7725
0.168414,8250
0.179265,8961
0.184315,9292
0.193036,9864
0.204464,10613
0.212711,11153
0.226972,12088
0.234594,12587
0.243515,13172
0.250424,13625
0.257930,14117
0.270154,14918
0.278957,15495
0.289423,16180
0.297170,16688
0.307121,17340
0.314803,17844
0.324377,18471
0.332336,18993
0.340685,19540
0.348328,20041
0.356385,20569
0.365731,21181
0.372356,21615
0.380249,22133
0.388554,22677
0.396584,23203
0.405116,23762
0.412772,24264
0.420614,24778
0.428470,25293
0.436410,25813
0.444420,26338
0.452461,26865
0.460391,27385
0.469409,27976
0.476438,28436
0.485256,29014
0.492454,29486
0.500723,30028
0.508420,30532
0.516950,31091
0.524388,31579
0.532576,32115
0.540437,32631
0.548544,33162
0.556416,33678
0.564389,34200
0.572535,34734
0.580350,35246
0.588389,35773
0.596937,36333
0.605210,36876
0.612640,37362
0.620442,37874
0.628664,38413
0.636648,38936
0.644403,39444
0.652402,39968
0.660215,40480
0.672821,41306
0.680667,41821
0.689051,42370
0.700229,43103
0.705620,43456
0.712561,43911
0.720631,44440
0.728468,44953
0.737057,45516
0.745025,46038
0.753254,46578
0.760384,47045
0.768402,47570
0.776330,48090
0.784414,48620
0.792392,49142
0.801162,49717
0.808406,50192
0.816380,50715
0.825106,51286
0.832784,51790
0.840588,52301
0.848731,52835
0.856839,53366
0.865250,53917
