# timestamps [seconds],pts
448959.728548,136500
448959.736617,137028
448959.744686,137557
448959.752755,138086
448959.760824,138615
448959.768894,139144
448959.776963,139672
448959.785032,140201
448959.793101,140730
448959.801170,141259
448959.809239,141788
448959.817309,142316
448959.825378,142845
448959.833447,143374
448959.841516,143903
448959.849585,144432
448959.857654,144960
448959.865724,145489
448959.873793,146018
448959.881862,146547
448959.889931,147076
448959.898000,147605
448959.906069,148133
448959.914139,148662
448959.922208,149191
448959.930277,149720
448959.938346,150249
448959.946415,150777
448959.954484,151306
448959.962553,151835
448959.970623,152364
448959.978692,152893
448959.986761,153422
448959.994830,153950
448960.002899,154479
448960.019038,155537
448960.027107,156066
448960.035176,156594
448960.043245,157123
448960.051314,157652
448960.059383,158181
448960.067453,158710
448960.075522,159238
448960.083591,159767
448960.091660,160296
448960.099729,160825
448960.107798,161354
448960.115868,161883
448960.123937,162411
448960.132006,162940
448960.140075,163469
448960.148144,163998
448960.156213,164527
448960.164283,165055
448960.172352,165584
448960.180421,166113
448960.188490,166642
448960.196559,167171
448960.204628,167699
448960.212698,168228
448960.220767,168757
448960.228836,169286
448960.236905,169815
448960.244974,170344
448960.253043,170872
448960.261113,171401
448960.269182,171930
448960.277251,172459
448960.285320,172988
448960.293389,173516
448960.301458,174045
448960.309528,174574
448960.317597,175103
448960.325666,175632
448960.333735,176160
448960.341804,176689
448960.349873,177218
448960.357943,177747
448960.366012,178276
448960.374081,178805
448960.382150,179333
448960.390219,179862
448960.398288,180391
448960.406357,180920
448960.414427,181449
448960.422496,181977
448960.430565,182506
448960.438634,183035
448960.446703,183564
448960.454772,184093
448960.462842,184621
448960.470911,185150
448960.478980,185679
448960.487049,186208
448960.495118,186737
448960.503187,187265
448960.511257,187794
448960.519326,188323
448960.527395,188852
448960.535464,189381
448960.543533,189910
448960.551602,190438
448960.559672,190967
448960.567741,191496
448960.575810,192025
448960.583879,192554
448960.591948,193082
448960.600017,193611
448960.608087,194140
448960.616156,194669
448960.624225,195198
448960.632294,195727
